Date,Julian Date,Time,Station,Depth (m),Calculated Chlorophyll-a (micrograms/L),Oxygen % Saturation,Calculated SPM (mg/L),Extinction Coefficient,Salinity,Temperature (Degrees Celsius),Month,Year
2021-01-29,2021029,11:49,15,16,3.0,92.0,36,1.1,30.48,10.5,1,2021
2021-01-29,2021029,11:49,15,17,3.0,92.0,37,1.1,30.54,10.5,1,2021
2021-01-29,2021029,11:49,15,18,3.0,92.0,39,1.1,30.53,10.5,1,2021
2021-01-29,2021029,11:49,15,19,3.0,92.0,40,1.1,30.53,10.5,1,2021
2021-01-29,2021029,11:49,15,20,3.0,92.0,39,1.1,30.55,10.5,1,2021
2021-01-29,2021029,11:49,15,21,3.0,92.0,40,1.1,30.54,10.5,1,2021
2021-01-29,2021029,11:49,15,22,3.0,92.0,41,1.1,30.55,10.5,1,2021
2021-01-29,2021029,11:49,15,23,3.0,92.0,41,1.1,30.55,10.5,1,2021
2021-01-29,2021029,11:49,15,24,3.0,92.0,41,1.1,30.55,10.5,1,2021
2021-01-29,2021029,11:31,16,1,2.5,92.0,10,1.0,31.51,10.56,1,2021
2021-01-29,2021029,11:31,16,2,2.7,92.0,10,1.0,31.52,10.55,1,2021
2021-01-29,2021029,11:31,16,3,2.8,92.0,11,1.0,31.52,10.55,1,2021
2021-01-29,2021029,11:31,16,4,2.8,92.0,10,1.0,31.53,10.54,1,2021
2021-01-29,2021029,11:31,16,5,2.8,92.0,11,1.0,31.54,10.54,1,2021
2021-01-29,2021029,11:31,16,6,2.8,92.0,12,1.0,31.56,10.53,1,2021
2021-01-29,2021029,11:31,16,7,2.8,92.0,12,1.0,31.57,10.53,1,2021
2021-01-29,2021029,11:31,16,8,2.8,92.0,12,1.0,31.56,10.53,1,2021
2021-01-29,2021029,11:31,16,9,2.8,92.0,12,1.0,31.58,10.53,1,2021
2021-01-29,2021029,11:31,16,10,2.9,92.0,12,1.0,31.6,10.53,1,2021
2021-01-29,2021029,11:31,16,11,2.9,92.0,13,1.0,31.6,10.53,1,2021
2021-01-29,2021029,11:31,16,12,2.8,92.0,13,1.0,31.6,10.53,1,2021
2021-01-29,2021029,11:31,16,13,2.8,92.0,13,1.0,31.6,10.53,1,2021
2021-01-29,2021029,11:31,16,14,2.9,92.0,13,1.0,31.59,10.53,1,2021
2021-01-29,2021029,11:18,17,1,2.5,93.0,7,1.0,31.57,10.62,1,2021
2021-01-29,2021029,11:18,17,2,2.6,93.0,8,1.0,31.63,10.59,1,2021
2021-01-29,2021029,11:18,17,3,2.8,92.0,9,1.0,31.62,10.58,1,2021
2021-01-29,2021029,11:18,17,4,2.8,92.0,9,1.0,31.68,10.56,1,2021
2021-01-29,2021029,11:18,17,5,2.8,92.0,7,1.0,31.76,10.54,1,2021
2021-01-29,2021029,11:18,17,6,2.8,92.0,7,1.0,31.8,10.54,1,2021
2021-01-29,2021029,11:18,17,7,2.8,92.0,8,1.0,31.8,10.54,1,2021
2021-01-29,2021029,11:18,17,8,2.8,92.0,10,1.0,31.81,10.54,1,2021
2021-01-29,2021029,11:18,17,9,2.9,92.0,18,1.0,31.82,10.54,1,2021
2021-01-29,2021029,11:18,17,10,2.8,92.0,19,1.0,31.81,10.54,1,2021
2021-01-29,2021029,11:18,17,11,2.9,92.0,22,1.0,31.82,10.54,1,2021
2021-01-29,2021029,11:18,17,12,2.9,92.0,24,1.0,31.81,10.54,1,2021
2021-01-29,2021029,11:18,17,13,2.9,92.0,25,1.0,31.81,10.54,1,2021
2021-01-29,2021029,11:18,17,14,3.0,92.0,27,1.0,31.81,10.54,1,2021
2021-01-29,2021029,11:02,18,1,2.6,92.0,10,1.0,32.3,10.56,1,2021
2021-01-29,2021029,11:02,18,2,2.7,92.0,12,1.0,32.3,10.55,1,2021
2021-01-29,2021029,11:02,18,3,2.8,92.0,13,1.0,32.3,10.55,1,2021
2021-01-29,2021029,11:02,18,4,2.8,92.0,13,1.0,32.3,10.55,1,2021
2021-01-29,2021029,11:02,18,5,2.9,91.0,13,1.0,32.31,10.55,1,2021
2021-01-29,2021029,11:02,18,6,2.8,91.0,13,1.0,32.31,10.56,1,2021
2021-01-29,2021029,11:02,18,7,2.8,92.0,13,1.0,32.31,10.56,1,2021
2021-01-29,2021029,11:02,18,8,2.8,92.0,13,1.0,32.31,10.56,1,2021
2021-01-29,2021029,11:02,18,9,2.8,92.0,13,1.0,32.32,10.56,1,2021
2021-01-29,2021029,11:02,18,10,2.8,92.0,12,1.0,32.32,10.57,1,2021
2021-01-29,2021029,11:02,18,11,2.8,92.0,12,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,12,2.8,92.0,13,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,13,2.8,91.0,14,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,14,2.8,91.0,15,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,15,2.8,91.0,15,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,16,2.9,91.0,15,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,17,2.8,91.0,16,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,18,2.8,91.0,16,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,19,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,20,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,21,2.9,92.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,22,2.8,91.0,16,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,23,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,24,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,25,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,26,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,27,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,28,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,29,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,30,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,31,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,32,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,33,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,34,2.8,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,35,2.8,91.0,18,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,36,2.9,91.0,17,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,37,2.9,92.0,18,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,38,2.8,91.0,18,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,39,2.8,91.0,19,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,40,2.9,91.0,18,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,41,2.9,92.0,18,1.0,32.32,10.55,1,2021
2021-01-29,2021029,11:02,18,42,2.9,91.0,20,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,43,2.8,92.0,21,1.0,32.33,10.55,1,2021
2021-01-29,2021029,11:02,18,44,2.9,92.0,19,1.0,32.33,10.55,1,2021
2021-01-29,2021029,10:48,20,1,2.7,92.0,13,1.4,32.16,10.59,1,2021
2021-01-29,2021029,10:48,20,2,2.7,92.0,13,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,3,2.8,92.0,17,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,4,2.9,92.0,20,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,5,2.9,92.0,21,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,6,2.9,92.0,19,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,7,2.9,92.0,18,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,8,2.9,92.0,20,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,9,2.8,92.0,20,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,10,2.8,92.0,21,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,11,2.9,92.0,21,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,12,2.8,92.0,20,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,13,2.8,92.0,19,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,14,2.8,92.0,20,1.4,32.16,10.57,1,2021
2021-01-29,2021029,10:48,20,15,2.8,92.0,21,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,16,2.9,92.0,22,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,17,2.9,92.0,23,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,18,2.9,92.0,24,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,19,2.9,92.0,25,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,20,2.9,92.0,24,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,21,2.9,92.0,25,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,22,2.9,92.0,26,1.4,32.16,10.56,1,2021
2021-01-29,2021029,10:48,20,23,2.9,92.0,24,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,24,2.9,92.0,29,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,25,2.9,92.0,34,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,26,2.9,92.0,33,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,27,2.9,92.0,31,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,28,2.9,92.0,28,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:48,20,29,2.9,92.0,27,1.4,32.15,10.56,1,2021
2021-01-29,2021029,10:32,21,1,2.8,92.0,10,1.2,31.04,10.53,1,2021
2021-01-29,2021029,10:32,21,2,2.9,92.0,11,1.2,31.07,10.51,1,2021
2021-01-29,2021029,10:32,21,3,2.9,92.0,12,1.2,31.11,10.5,1,2021
2021-01-29,2021029,10:32,21,4,2.9,92.0,13,1.2,31.23,10.5,1,2021
2021-01-29,2021029,10:32,21,5,2.9,92.0,14,1.2,31.36,10.51,1,2021
2021-01-29,2021029,10:32,21,6,2.9,92.0,16,1.2,31.36,10.51,1,2021
2021-01-29,2021029,10:32,21,7,2.9,92.0,16,1.2,31.36,10.51,1,2021
2021-01-29,2021029,10:32,21,8,2.9,92.0,17,1.2,31.37,10.51,1,2021
2021-01-29,2021029,10:32,21,9,2.9,92.0,17,1.2,31.36,10.51,1,2021
2021-01-29,2021029,10:32,21,10,2.9,92.0,17,1.2,31.37,10.51,1,2021
2021-01-29,2021029,10:32,21,11,2.9,92.0,17,1.2,31.41,10.51,1,2021
2021-01-29,2021029,10:32,21,12,2.8,92.0,18,1.2,31.42,10.52,1,2021
2021-01-29,2021029,10:32,21,13,2.9,92.0,19,1.2,31.42,10.52,1,2021
2021-01-29,2021029,10:32,21,14,2.8,92.0,20,1.2,31.43,10.52,1,2021
2021-01-29,2021029,10:32,21,15,2.9,92.0,20,1.2,31.43,10.52,1,2021
2021-01-29,2021029,10:32,21,16,2.9,92.0,20,1.2,31.43,10.52,1,2021
2021-01-29,2021029,10:32,21,17,2.9,92.0,21,1.2,31.42,10.52,1,2021
2021-01-29,2021029,10:32,21,18,2.9,92.0,21,1.2,31.42,10.52,1,2021
2021-01-29,2021029,10:32,21,19,2.9,92.0,22,1.2,31.42,10.52,1,2021
2021-01-29,2021029,10:22,22,1,2.8,92.0,17,1.5,31.5,10.59,1,2021
2021-01-29,2021029,10:22,22,2,2.8,92.0,19,1.5,31.51,10.57,1,2021
2021-01-29,2021029,10:22,22,3,2.9,92.0,25,1.5,31.51,10.56,1,2021
2021-01-29,2021029,10:22,22,4,2.9,92.0,27,1.5,31.51,10.56,1,2021
2021-01-29,2021029,10:22,22,5,2.9,92.0,29,1.5,31.52,10.56,1,2021
2021-01-29,2021029,10:22,22,6,2.9,92.0,29,1.5,31.53,10.56,1,2021
2021-01-29,2021029,10:22,22,7,2.9,92.0,31,1.5,31.57,10.55,1,2021
2021-01-29,2021029,10:22,22,8,2.9,92.0,38,1.5,31.58,10.56,1,2021
2021-01-29,2021029,10:22,22,9,3.0,92.0,41,1.5,31.58,10.56,1,2021
2021-01-29,2021029,10:22,22,10,2.9,92.0,41,1.5,31.59,10.56,1,2021
2021-01-29,2021029,10:22,22,11,2.9,92.0,41,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,12,2.9,92.0,42,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,13,3.0,92.0,43,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,14,3.0,92.0,43,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,15,3.0,92.0,43,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,16,3.0,92.0,43,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,17,3.0,92.0,43,1.5,31.6,10.56,1,2021
2021-01-29,2021029,10:22,22,18,3.0,92.0,46,1.5,31.59,10.56,1,2021
2021-01-29,2021029,10:22,22,19,3.0,92.0,47,1.5,31.59,10.56,1,2021
2021-01-29,2021029,10:22,22,20,3.0,92.0,50,1.5,31.59,10.56,1,2021
2021-01-29,2021029,10:07,23,1,3.0,92.0,51,2.8,30.74,10.54,1,2021
2021-01-29,2021029,10:07,23,2,3.1,92.0,60,2.8,30.75,10.53,1,2021
2021-01-29,2021029,10:07,23,3,3.1,92.0,67,2.8,30.77,10.53,1,2021
2021-01-29,2021029,10:07,23,4,3.1,92.0,75,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,5,3.1,92.0,73,2.8,30.78,10.54,1,2021
2021-01-29,2021029,10:07,23,6,3.1,92.0,73,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,7,3.1,92.0,70,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,8,3.1,92.0,68,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,9,3.2,92.0,69,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,10,3.1,92.0,73,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,11,3.2,92.0,74,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,12,3.2,92.0,73,2.8,30.8,10.54,1,2021
2021-01-29,2021029,10:07,23,13,3.1,92.0,71,2.8,30.79,10.54,1,2021
2021-01-29,2021029,10:07,23,14,3.1,92.0,74,2.8,30.78,10.54,1,2021
2021-01-29,2021029,10:07,23,15,3.2,92.0,82,2.8,30.78,10.54,1,2021
2021-01-29,2021029,10:07,23,16,3.2,92.0,82,2.8,30.78,10.54,1,2021
2021-01-29,2021029,9:53,24,1,3.1,92.0,50,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,2,3.1,93.0,53,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,3,3.1,93.0,53,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,4,3.1,92.0,53,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,5,3.1,92.0,53,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,6,3.1,93.0,52,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,7,3.1,93.0,53,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,8,3.1,93.0,57,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,9,3.1,93.0,59,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,10,3.1,93.0,57,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:53,24,11,3.1,93.0,60,2.6,30.57,10.58,1,2021
2021-01-29,2021029,9:41,25,1,3.2,94.0,67,3.2,30.43,10.61,1,2021
2021-01-29,2021029,9:41,25,2,3.2,94.0,73,3.2,30.43,10.61,1,2021
2021-01-29,2021029,9:41,25,3,3.1,94.0,73,3.2,30.43,10.61,1,2021
2021-01-29,2021029,9:41,25,4,3.1,94.0,73,3.2,30.43,10.61,1,2021
2021-01-29,2021029,9:41,25,5,3.2,94.0,75,3.2,30.43,10.61,1,2021
2021-01-29,2021029,9:41,25,6,3.2,94.0,76,3.2,30.43,10.6,1,2021
2021-01-29,2021029,9:41,25,7,3.2,94.0,79,3.2,30.43,10.6,1,2021
2021-01-29,2021029,9:41,25,8,3.2,94.0,81,3.2,30.43,10.6,1,2021
2021-01-29,2021029,9:41,25,9,3.2,94.0,87,3.2,30.43,10.59,1,2021
2021-01-29,2021029,9:27,26,1,3.0,95.0,22,1.9,30.47,10.48,1,2021
2021-01-29,2021029,9:27,26,2,3.0,95.0,29,1.9,30.47,10.48,1,2021
2021-01-29,2021029,9:27,26,3,3.0,95.0,31,1.9,30.47,10.48,1,2021
2021-01-29,2021029,9:27,26,4,3.1,95.0,37,1.9,30.48,10.48,1,2021
2021-01-29,2021029,9:27,26,5,3.1,95.0,48,1.9,30.48,10.47,1,2021
2021-01-29,2021029,9:27,26,6,3.1,95.0,53,1.9,30.48,10.48,1,2021
2021-01-29,2021029,9:27,26,7,3.1,95.0,61,1.9,30.48,10.48,1,2021
2021-01-29,2021029,9:27,26,8,3.1,95.0,61,1.9,30.48,10.48,1,2021
2021-01-29,2021029,9:27,26,9,3.1,95.0,65,1.9,30.48,10.48,1,2021
2021-01-29,2021029,9:27,26,10,3.2,94.0,75,1.9,30.49,10.48,1,2021
2021-01-29,2021029,9:27,26,11,3.2,94.0,85,1.9,30.49,10.48,1,2021
2021-01-29,2021029,9:16,27,1,3.0,95.0,18,1.4,30.46,10.45,1,2021
2021-01-29,2021029,9:16,27,2,3.0,95.0,20,1.4,30.46,10.44,1,2021
2021-01-29,2021029,9:16,27,3,3.0,95.0,25,1.4,30.47,10.42,1,2021
2021-01-29,2021029,9:16,27,4,3.1,95.0,38,1.4,30.48,10.42,1,2021
2021-01-29,2021029,9:16,27,5,3.1,95.0,43,1.4,30.48,10.41,1,2021
2021-01-29,2021029,9:16,27,6,3.1,95.0,50,1.4,30.48,10.4,1,2021
2021-01-29,2021029,9:16,27,7,3.1,95.0,57,1.4,30.48,10.4,1,2021
2021-01-29,2021029,9:16,27,8,3.1,95.0,59,1.4,30.48,10.4,1,2021
2021-01-29,2021029,9:16,27,9,3.1,95.0,65,1.4,30.48,10.4,1,2021
2021-01-29,2021029,9:16,27,10,3.2,95.0,69,1.4,30.49,10.4,1,2021
2021-01-29,2021029,9:16,27,11,3.2,95.0,73,1.4,30.49,10.39,1,2021
2021-01-29,2021029,9:16,27,12,3.3,95.0,82,1.4,30.49,10.39,1,2021
2021-01-29,2021029,9:05,28,1,3.2,94.0,21,1.4,30.36,10.28,1,2021
2021-01-29,2021029,9:05,28,2,3.1,94.0,26,1.4,30.37,10.29,1,2021
2021-01-29,2021029,9:05,28,3,3.1,94.0,28,1.4,30.39,10.32,1,2021
2021-01-29,2021029,9:05,28,4,3.1,94.0,32,1.4,30.39,10.32,1,2021
2021-01-29,2021029,9:05,28,5,3.1,94.0,31,1.4,30.39,10.32,1,2021
2021-01-29,2021029,9:05,28,6,3.1,94.0,31,1.4,30.39,10.32,1,2021
2021-01-29,2021029,9:05,28,7,3.0,94.0,32,1.4,30.39,10.31,1,2021
2021-01-29,2021029,9:05,28,8,3.1,94.0,40,1.4,30.4,10.31,1,2021
2021-01-29,2021029,9:05,28,9,3.2,94.0,61,1.4,30.41,10.32,1,2021
2021-01-29,2021029,9:05,28,10,3.2,94.0,73,1.4,30.41,10.32,1,2021
2021-01-29,2021029,9:05,28,11,3.2,94.0,82,1.4,30.41,10.32,1,2021
2021-01-29,2021029,9:05,28,12,3.3,94.0,90,1.4,30.41,10.32,1,2021
2021-01-29,2021029,9:05,28,13,3.3,94.0,110,1.4,30.42,10.32,1,2021
2021-01-29,2021029,8:52,29,1,3.4,94.0,76,3.6,30.36,10.29,1,2021
2021-01-29,2021029,8:52,29,2,3.3,94.0,73,3.6,30.36,10.29,1,2021
2021-01-29,2021029,8:52,29,3,3.3,94.0,72,3.6,30.36,10.29,1,2021
2021-01-29,2021029,8:52,29,4,3.3,94.0,72,3.6,30.36,10.29,1,2021
2021-01-29,2021029,8:52,29,5,3.3,94.0,73,3.6,30.37,10.3,1,2021
2021-01-29,2021029,8:52,29,6,3.3,94.0,74,3.6,30.37,10.3,1,2021
2021-01-29,2021029,8:52,29,7,3.3,94.0,76,3.6,30.37,10.29,1,2021
2021-01-29,2021029,8:52,29,8,3.3,94.0,75,3.6,30.38,10.3,1,2021
2021-01-29,2021029,8:52,29,9,3.3,94.0,91,3.6,30.38,10.31,1,2021
2021-01-29,2021029,8:52,29,10,3.4,94.0,96,3.6,30.4,10.32,1,2021
2021-01-29,2021029,8:52,29,11,3.4,94.0,113,3.6,30.41,10.33,1,2021
2021-01-29,2021029,8:52,29,12,3.5,94.0,149,3.6,30.43,10.34,1,2021
2021-01-29,2021029,8:52,29,13,4.0,94.0,230,3.6,30.43,10.35,1,2021
2021-01-29,2021029,8:52,29,14,4.2,94.0,334,3.6,30.43,10.35,1,2021
2021-01-29,2021029,8:52,29,15,4.3,94.0,364,3.6,30.43,10.35,1,2021
2021-01-29,2021029,8:35,30,1,4.9,94.0,11,2.5,29.64,10.08,1,2021
2021-01-29,2021029,8:35,30,2,4.6,94.0,22,2.5,29.74,10.11,1,2021
2021-01-29,2021029,8:35,30,3,4.6,94.0,32,2.5,29.78,10.12,1,2021
2021-01-29,2021029,8:35,30,4,4.6,94.0,36,2.5,30.02,10.22,1,2021
2021-01-29,2021029,8:35,30,5,4.6,94.0,42,2.5,30.16,10.28,1,2021
2021-01-29,2021029,8:35,30,6,4.5,94.0,50,2.5,30.24,10.3,1,2021
2021-01-29,2021029,8:35,30,7,4.4,94.0,53,2.5,30.27,10.31,1,2021
2021-01-29,2021029,8:35,30,8,4.4,94.0,70,2.5,30.27,10.31,1,2021
2021-01-29,2021029,8:35,30,9,4.9,94.0,119,2.5,30.27,10.31,1,2021
2021-01-29,2021029,8:35,30,10,5.2,94.0,145,2.5,30.27,10.31,1,2021
2021-01-29,2021029,8:35,30,11,5.4,94.0,179,2.5,30.26,10.31,1,2021
2021-01-29,2021029,8:21,31,1,7.5,93.0,10,2.3,27.48,9.84,1,2021
2021-01-29,2021029,8:21,31,2,6.8,93.0,11,2.3,28.37,9.96,1,2021
2021-01-29,2021029,8:21,31,3,6.2,93.0,18,2.3,28.73,9.98,1,2021
2021-01-29,2021029,8:21,31,4,5.9,93.0,27,2.3,29.06,10.02,1,2021
2021-01-29,2021029,8:21,31,5,5.6,93.0,39,2.3,29.34,10.09,1,2021
2021-01-29,2021029,8:21,31,6,5.5,93.0,46,2.3,29.52,10.13,1,2021
2021-01-29,2021029,8:21,31,7,5.4,93.0,56,2.3,29.56,10.14,1,2021
2021-01-29,2021029,8:21,31,8,5.6,94.0,76,2.3,29.76,10.18,1,2021
2021-01-29,2021029,8:21,31,9,5.8,94.0,134,2.3,29.83,10.2,1,2021
2021-01-29,2021029,8:21,31,10,6.4,93.0,193,2.3,29.91,10.22,1,2021
